fighter_a,fighter_b,winner,method,fight_time,referee,weight_class,event,total_strike_landed_a,total_strike_landed_b,total_strike_missed_a,total_strike_missed_b,knockdowns_a,knockdowns_b,td_completed_a,td_completed_b,td_missed_a,td_missed_b,sub_att_a,sub_att_b,ctrl_time_minutes_a,ctrl_time_minutes_b,rounds
Brandon Moreno,Amir Albazi,1,Decision - Unanimous,5:00,Marc Goddard,Flyweight Bout,UFC Fight Night: Moreno vs. Albazi,132.0,75.0,185.0,171.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.15,5.0
Erin Blanchfield,Rose Namajunas,1,Decision - Unanimous,5:00,Blake Grice,Women's Flyweight Bout,UFC Fight Night: Moreno vs. Albazi,193.0,131.0,194.0,113.0,0.0,0.0,2.0,2.0,6.0,5.0,0.0,0.0,8.899999999,4.266666666000001,5.0
Caio Machado,Brendson Ribeiro,0,Decision - Split,5:00,Jerin Valel,Light Heavyweight Bout,UFC Fight Night: Moreno vs. Albazi,79.0,49.0,108.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033333333,0.0,3.0
Ariane da Silva,Jasmine Jasudavicius,0,Submission,2:28,Luke Boutin,Women's Flyweight Bout,UFC Fight Night: Moreno vs. Albazi,43.0,130.0,50.0,88.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,1.0,0.0,5.733333333,3.0
Marc-Andre Barriault,Dustin Stoltzfus,0,KO/TKO,4:28,Marc Goddard,Middleweight Bout,UFC Fight Night: Moreno vs. Albazi,13.0,23.0,4.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.016666667,3.9,3.0
Mike Malott,Trevin Giles,1,Decision - Unanimous,5:00,Andy Social,Welterweight Bout,UFC Fight Night: Moreno vs. Albazi,59.0,34.0,71.0,44.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
Aiemann Zahabi,Pedro Munhoz,1,Decision - Unanimous,5:00,Jerin Valel,Bantamweight Bout,UFC Fight Night: Moreno vs. Albazi,110.0,95.0,98.0,232.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.033333333,3.0
Charles Jourdain,Victor Henry,1,Submission,3:43,Blake Grice,Bantamweight Bout,UFC Fight Night: Moreno vs. Albazi,50.0,39.0,37.0,36.0,0.0,0.0,0.0,4.0,2.0,2.0,1.0,0.0,0.283333333,3.816666667,3.0
Jack Shore,Youssef Zalal,0,Submission,0:59,Luke Boutin,Featherweight Bout,UFC Fight Night: Moreno vs. Albazi,10.0,21.0,11.0,16.0,0.0,1.0,2.0,1.0,2.0,1.0,0.0,1.0,1.816666667,2.116666667,3.0
Alexandr Romanov,Rodrigo Nascimento,1,Decision - Unanimous,5:00,Marc Goddard,Heavyweight Bout,UFC Fight Night: Moreno vs. Albazi,87.0,48.0,82.0,60.0,0.0,0.0,6.0,0.0,4.0,0.0,1.0,0.0,7.55,0.0,3.0
Serhiy Sidey,Garrett Armfield,1,Decision - Split,5:00,Andy Social,Bantamweight Bout,UFC Fight Night: Moreno vs. Albazi,75.0,77.0,76.0,71.0,0.0,0.0,0.0,4.0,4.0,1.0,3.0,1.0,0.7833333330000001,4.8833333329999995,3.0
Chad Anheliger,Cody Gibson,0,Decision - Unanimous,5:00,Jerin Valel,Bantamweight Bout,UFC Fight Night: Moreno vs. Albazi,59.0,59.0,18.0,34.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,2.0,0.0,12.416666667000001,3.0
Jamey-Lyn Horth,Ivana Petrovic,1,Decision - Split,5:00,Blake Grice,Women's Flyweight Bout,UFC Fight Night: Moreno vs. Albazi,50.0,67.0,44.0,61.0,0.0,0.0,2.0,2.0,2.0,4.0,0.0,0.0,2.5,7.75,3.0
Ilia Topuria,Max Holloway,1,KO/TKO,1:34,Marc Goddard,UFC Featherweight Title Bout,UFC 308: Topuria vs. Holloway,78.0,84.0,69.0,125.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,5.0
Robert Whittaker,Khamzat Chimaev,0,Submission,3:34,Jason Herzog,Middleweight Bout,UFC 308: Topuria vs. Holloway,2.0,25.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,3.333333333,5.0
Magomed Ankalaev,Aleksandar Rakic,1,Decision - Unanimous,5:00,Vitor Ribeiro,Light Heavyweight Bout,UFC 308: Topuria vs. Holloway,75.0,59.0,67.0,64.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.516666667,1.0,3.0
Lerone Murphy,Dan Ige,1,Decision - Unanimous,5:00,Mark Smith,Featherweight Bout,UFC 308: Topuria vs. Holloway,78.0,52.0,55.0,64.0,0.0,1.0,3.0,1.0,2.0,2.0,0.0,0.0,2.283333334,4.783333334,3.0
Shara Magomedov,Armen Petrosyan,1,KO/TKO,4:52,Kerry Hatley,Middleweight Bout,UFC 308: Topuria vs. Holloway,67.0,77.0,41.0,64.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033333333,0.35,3.0
Ibo Aslan,Rafael Cerqueira,1,KO/TKO,0:51,Marc Goddard,Light Heavyweight Bout,UFC 308: Topuria vs. Holloway,28.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Geoff Neal,Rafael Dos Anjos,1,KO/TKO,1:30,Mark Smith,Welterweight Bout,UFC 308: Topuria vs. Holloway,21.0,4.0,13.0,9.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,3.0
Mateusz Rebecki,Myktybek Orolbai,1,Decision - Split,5:00,Vitor Ribeiro,Catch Weight Bout,UFC 308: Topuria vs. Holloway,93.0,85.0,81.0,77.0,1.0,0.0,3.0,2.0,1.0,3.0,0.0,0.0,2.4,2.083333333,3.0
Abus Magomedov,Brunno Ferreira,1,Submission,3:14,Marc Goddard,Middleweight Bout,UFC 308: Topuria vs. Holloway,45.0,36.0,36.0,47.0,0.0,0.0,4.0,0.0,4.0,0.0,1.0,1.0,3.6,0.216666667,3.0
